"n","scheme","nu","p","q","test","power","se","crit","R0","R1"
50,"linear",0.1,2,2,"B_n",1,0,9.42775537438443,10000,10000
50,"linear",0.1,2,2,"P_n",1,0,9.30505087589583,10000,10000
50,"linear",0.1,2,2,"Hoeffding",1,0,0.020079976023712,10000,10000
50,"linear",0.1,2,2,"dCov",1,0,0.323267440317312,10000,10000
50,"linear",0.1,2,2,"HHG",1,0,3458.49168571597,10000,10000
50,"linear",0.1,2,2,"Genest",1,0,0.0565357102222221,10000,10000
50,"linear",0.1,2,2,"MIC",1,0,0.400368663955449,10000,10000
50,"linear",0.1,2,1,"B_n",1,0,5.91696839351066,10000,10000
50,"linear",0.1,2,1,"P_n",1,0,5.91453832407467,10000,10000
50,"linear",0.1,2,1,"Hoeffding",1,0,0.0204579801393268,10000,10000
50,"linear",0.1,2,1,"dCov",1,0,0.321933219667803,10000,10000
50,"linear",0.1,2,1,"HHG",1,0,3453.73204684298,10000,10000
50,"linear",0.1,2,1,"Genest",1,0,0.0565631022222188,10000,10000
50,"linear",0.1,2,1,"MIC",1,0,0.4,10000,10000
50,"linear",0.2,2,2,"B_n",1,0,9.48225607002772,10000,10000
50,"linear",0.2,2,2,"P_n",1,0,9.36375238295503,10000,10000
50,"linear",0.2,2,2,"Hoeffding",1,0,0.0198311040419868,10000,10000
50,"linear",0.2,2,2,"dCov",1,0,0.323701614406264,10000,10000
50,"linear",0.2,2,2,"HHG",1,0,3481.70722411447,10000,10000
50,"linear",0.2,2,2,"Genest",1,0,0.0560083822222235,10000,10000
50,"linear",0.2,2,2,"MIC",0.9999,9.99949998749882e-05,0.401944011750206,10000,10000
50,"linear",0.2,2,1,"B_n",1,0,6.04862936037112,10000,10000
50,"linear",0.2,2,1,"P_n",1,0,6.03786191916973,10000,10000
50,"linear",0.2,2,1,"Hoeffding",1,0,0.0208115123940418,10000,10000
50,"linear",0.2,2,1,"dCov",1,0,0.32840032829044,10000,10000
50,"linear",0.2,2,1,"HHG",1,0,3478.72425444182,10000,10000
50,"linear",0.2,2,1,"Genest",1,0,0.058073966222221,10000,10000
50,"linear",0.2,2,1,"MIC",0.9999,9.99949998749882e-05,0.403316801233953,10000,10000
50,"linear",0.3,2,2,"B_n",0.9995,0.000223550889061069,9.34283463128288,10000,10000
50,"linear",0.3,2,2,"P_n",0.9995,0.000223550889061069,9.29618891818486,10000,10000
50,"linear",0.3,2,2,"Hoeffding",0.9999,9.99949998749882e-05,0.0205390653023466,10000,10000
50,"linear",0.3,2,2,"dCov",1,0,0.32519108017386,10000,10000
50,"linear",0.3,2,2,"HHG",0.998,0.000446766158073774,3433.33744056043,10000,10000
50,"linear",0.3,2,2,"Genest",1,0,0.0571265902222229,10000,10000
50,"linear",0.3,2,2,"MIC",0.9709,0.00168086852549508,0.402323546060888,10000,10000
50,"linear",0.3,2,1,"B_n",1,0,6.0441176329017,10000,10000
50,"linear",0.3,2,1,"P_n",1,0,6.03364166991018,10000,10000
50,"linear",0.3,2,1,"Hoeffding",1,0,0.0208378485529272,10000,10000
50,"linear",0.3,2,1,"dCov",1,0,0.329860198269839,10000,10000
50,"linear",0.3,2,1,"HHG",0.9984,0.000399679871897503,3454.49698824103,10000,10000
50,"linear",0.3,2,1,"Genest",1,0,0.0580531822222205,10000,10000
50,"linear",0.3,2,1,"MIC",0.9737,0.00160025966642917,0.398884337688554,10000,10000
50,"linear",0.4,2,2,"B_n",0.9698,0.0017113725485703,9.46484012719696,10000,10000
50,"linear",0.4,2,2,"P_n",0.969,0.0017331762749357,9.36762058192632,10000,10000
50,"linear",0.4,2,2,"Hoeffding",0.991,0.000944404574321832,0.0209050812739527,10000,10000
