"n","test","mean_power","sd_power","mean_rank"
50,"B_n",0.4731745,0.338379587187044,3.1625
50,"HHG",0.4517785,0.347399860829378,3.3525
50,"dCov",0.350615,0.331011481795424,3.5425
50,"P_n",0.4721855,0.338172412301713,3.6025
50,"Genest",0.314765,0.317666178052357,4.5625
50,"Hoeffding",0.3269855,0.327377606481994,4.8
50,"MIC",0.2972255,0.317615383694726,4.9775
100,"HHG",0.6230435,0.339919000191525,3.0575
100,"B_n",0.6161555,0.354472954748299,3.1525
100,"dCov",0.4988385,0.36325119922229,3.39
100,"P_n",0.613948,0.354698368985261,3.825
100,"Genest",0.470157,0.369285527546472,4.48
100,"Hoeffding",0.4814575,0.36801311199023,4.5875
100,"MIC",0.40681,0.368151537239571,5.5075
200,"HHG",0.7829875,0.278429907265815,2.7475
200,"dCov",0.6735115,0.352919918483018,3.245
200,"B_n",0.7331895,0.316643979079322,3.375
200,"P_n",0.7310195,0.317539917278246,4.01
200,"Genest",0.6407215,0.367597317901521,4.1325
200,"Hoeffding",0.650071,0.368032026489011,4.31
200,"MIC",0.4889995,0.389363634858859,6.18
